Category,Brand,Type_Price,Name,Type_Weight,Type_Price_per,Image,Price,Price_per,Sub-Category
Frescos,Continente,/kg,Entremeada com Osso Familiar,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=2245742(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,3,99","€,3,99",Talho
Frescos,Kilom,/kg,Bifes de Frango Extrafino,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=2163098(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,7,49","€,3,30",Talho
Frescos,Continente,/kg,Porco Bifanas,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4212165(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,2,95","€,0,44",Talho
Frescos,Continente,/kg,Pá de Porco com Osso,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4212204(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,2,29","€,1,83",Talho
Frescos,Continente,/kg,Porco Lombinhos,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4212276(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,7,99","€,4,23",Talho
Frescos,Continente,/kg,Porco Entremeada,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4212375(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,3,99","€,1,60",Talho
Frescos,Continente,/kg,Entrecosto de Porco,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4212395(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,3,59","€,2,17",Talho
Frescos,Continente,/kg,Porco Tiras Entrecosto,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4212428(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,5,99","€,5,33",Talho
Frescos,Continente,/kg,Peru Peito (Bife),gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4635230(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,4,79","€,2,44",Talho
Frescos,Continente,/kg,Porco Tirinhas da Barriga sem osso,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=3605288(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,5,99","€,6,59",Talho
Frescos,Continente,/kg,Novilho Costeletas,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4069876(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,9,48","€,3,32",Talho
Frescos,Continente,/kg,Chouriço de Sangue,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=5845164(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,5,99","€,1,20",Talho
Frescos,Continente,/kg,Porco Assar,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=5044293(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,4,99","€,4,87",Talho
Frescos,Continente,/kg,Porco Ossos Espinha /Suã                                    ,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=2231762(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,2,49","€,1,52",Talho
Frescos,Lusiaves,/kg,Fricassé de Frango,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=2691553(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,1,99","€,1,17",Talho
Frescos,Continente,/kg,Vitelão Costeletas,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=5560441(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,9,48","€,2,84",Talho
Frescos,Continente,/kg,Porco Bifinhos do Lombo                                     ,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4927137(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,7,99","€,3,44",Talho
Frescos,Continente,/kg,Porco Couratos,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4441266(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,1,69","€,1,69",Talho
Frescos,Continente,/kg,Porco Fígado,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=2231821(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,2,99","€,1,94",Talho
Frescos,Lusiaves,/kg,Strogonoff de Peru,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=2964415(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,10,99","€,4,95",Talho
Frescos,Continente,/kg,Porco Cachaço Assar s/ Osso Metades Vácuo,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=3887046(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,4,99","€,4,99",Talho
Frescos,Continente,/un,Bife Alcatra Novilho 100% Nacional,gr,/kg,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=5548199(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,3,00","€,9,38",Talho
Frescos,Continente,/kg,Bife do Lombo de Vitelão,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=5560188(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,17,98","€,3,60",Talho
Frescos,Continente,/un,Porco Costeletas Mistas 100% Nacional,gr,/kg,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=5611702(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,2,75","€,6,11",Talho
Frescos,Lusiaves,/kg,Peito de Frango,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=2691555(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,6,95","€,8,03",Talho
Frescos,Continente,/kg,Porco Roti com Ananás Fácil e Bom,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=3694670(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,5,98","€,8,37",Talho
Frescos,Lusiaves,/kg,Perninhas de Frango,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=2691559(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,4,92","€,2,61",Talho
Frescos,Continente,/kg,Entrecosto de Porco em Tiras,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=2751718(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,5,99","€,3,14",Talho
Frescos,Continente,/kg,Novilho Bife Pá/Acém,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=5240739(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,7,37","€,2,58",Talho
Frescos,Continente,/kg,Vitelão para Cozer,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=5560532(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,4,45","€,1,11",Talho
Frescos,Continente,/kg,Vitelão Bife do Redondo,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=5560244(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,5,99","€,1,50",Talho
Frescos,Continente,/kg,Borrego Nacional Cachaço,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4371566(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,8,49","€,6,28",Talho
Frescos,Continente,/kg,Borrego Nacional Peito,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4371569(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,7,99","€,8,60",Talho
Frescos,Continente,/kg,Borrego Nacional Costeletas                                 ,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4371573(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,12,48","€,3,12",Talho
Frescos,Continente,/kg,Borrego Nacional Pá,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4371577(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,7,99","€,5,59",Talho
